Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width,Mouse
3,48,1.47822813,"[[468, 159], b'G']",1,Combined,0.64969877,10.90022731,0.960402997,9.007736839,16.77735563,0.492681894,2,Narrow,SC11LM
3,49,5.511410713,"[[468, 276], b'H']",0,Combined,0.083642305,4.847669296,0.460987099,10.79008917,57.95714582,0.106165631,0,Narrow,SC11LM
3,50,1.502335666,"[[468, 391], b'I']",1,Dim Visual Only,0.164380623,3.34985347,0.246954873,16.29989424,20.37863952,0.287080969,1,Narrow,SC11LM
3,51,5.261954902,"[[235, 391], b'C']",1,Combined,0.253588436,13.90110697,1.334370913,10.41354328,54.81759028,0.200140406,3,Narrow,SC11LM
3,52,2.965700906,"[[351, 276], b'E']",1,Combined,0.368264433,10.07753944,1.092162161,8.478922368,27.36495449,0.355949691,1,Narrow,SC11LM
3,53,0.516116975,"[[351, 276], b'E']",1,Dim Visual Only,0.741936951,5.705038704,0.382926255,21.29284054,7.689384783,0.261141356,1,Narrow,SC11LM
3,54,5.502251863,"[[351, 159], b'D']",0,Sham,0.359608504,12.60962101,1.978656562,7.213035339,35.06485767,0.233146805,1,Narrow,SC11LM
3,55,5.503712654,"[[468, 276], b'H']",0,Combined,0.488982063,18.71111226,2.69121677,7.853665884,38.26543685,0.068886997,0,Narrow,SC11LM
3,56,1.890771661,"[[235, 276], b'B']",1,Combined,0.641920076,14.7625866,1.213724289,8.281140153,22.99754618,0.688304661,1,Narrow,SC11LM
3,57,2.404343942,"[[468, 276], b'H']",1,Combined,0.088151578,2.046959331,0.211946713,9.506064812,23.22090398,0.190177467,0,Narrow,SC11LM
3,58,5.501994848,"[[468, 159], b'G']",0,Combined,0.184694706,8.123249128,1.016189321,8.920522435,43.98203556,0.11177846,0,Narrow,SC11LM
3,59,3.291453831,"[[351, 159], b'D']",1,Combined,0.395575049,13.99236464,1.30201701,10.44051386,35.37221237,0.16421193,3,Narrow,SC11LM
3,60,5.504991293,"[[235, 391], b'C']",0,Combined,0.383990213,16.81138018,2.113862779,8.912150928,43.78075174,0.110789569,1,Narrow,SC11LM
3,61,0.818312285,"[[468, 276], b'H']",1,Combined,0.635153142,4.270002049,0.519753619,12.78779393,6.72279135,0.682649528,0,Narrow,SC11LM
3,62,5.500646114,"[[235, 276], b'B']",0,Dim Visual Only,0.323809755,16.95301339,1.781162869,9.57605735,52.35485694,0.148715766,1,Narrow,SC11LM
3,63,5.505872965,"[[468, 159], b'G']",0,Combined,0.169328722,7.345762181,0.932302434,8.498168859,43.38166666,0.182670071,0,Narrow,SC11LM
3,64,2.062837241,"[[351, 159], b'D']",1,Combined,0.537997475,16.49472163,1.109801228,14.78606408,30.65947775,0.577496392,2,Narrow,SC11LM
